date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2010-01-02,Qatar,Mali,0,0,Friendly,Doha,Qatar,FALSE
2010-01-02,Yemen,Tajikistan,0,1,Friendly,Sana'a,Yemen,FALSE
2010-01-04,Tanzania,Ivory Coast,0,1,Friendly,Dar es Salaam,Tanzania,FALSE
2010-01-06,Bahrain,Hong Kong,4,0,AFC Asian Cup qualification,Riffa,Bahrain,FALSE
2010-01-06,Benin,Libya,1,0,Friendly,Cotonou,Benin,FALSE
2010-01-06,China PR,Syria,0,0,AFC Asian Cup qualification,Hangzhou,China PR,FALSE
2010-01-06,Indonesia,Oman,1,2,AFC Asian Cup qualification,Jakarta,Indonesia,FALSE
2010-01-06,Kuwait,Australia,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE
2010-01-06,Lebanon,Vietnam,1,1,AFC Asian Cup qualification,Sidon,Lebanon,FALSE
2010-01-06,Singapore,Iran,1,3,AFC Asian Cup qualification,Singapore,Singapore,FALSE
2010-01-06,Thailand,Jordan,0,0,AFC Asian Cup qualification,Bangkok,Thailand,FALSE
2010-01-06,United Arab Emirates,Malaysia,1,0,AFC Asian Cup qualification,Dubai,United Arab Emirates,FALSE
2010-01-06,Yemen,Japan,2,3,AFC Asian Cup qualification,Sana'a,Yemen,FALSE
2010-01-09,Kenya,Cameroon,1,3,Friendly,Nairobi,Kenya,FALSE
2010-01-09,Tunisia,Gambia,1,2,Friendly,Radès,Tunisia,FALSE
2010-01-10,Angola,Mali,4,4,African Cup of Nations,Luanda,Angola,FALSE
2010-01-14,Angola,Malawi,2,0,African Cup of Nations,Luanda,Angola,FALSE
2010-01-15,Yemen,Kenya,3,1,Friendly,Sana'a,Yemen,FALSE
2010-01-17,Thailand,Singapore,1,0,King's Cup,Nakhon Ratchasima,Thailand,FALSE
2010-01-17,Vietnam,China PR,1,2,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE
2010-01-18,Angola,Algeria,0,0,African Cup of Nations,Luanda,Angola,FALSE
2010-01-20,Chile,Panama,2,1,Friendly,Coquimbo,Chile,FALSE
2010-01-20,Oman,Sweden,0,1,Friendly,Muscat,Oman,FALSE
2010-01-20,Thailand,Poland,1,3,King's Cup,Nakhon Ratchasima,Thailand,FALSE
2010-01-20,Yemen,Bahrain,3,0,AFC Asian Cup qualification,Sana'a,Yemen,FALSE
2010-01-23,Syria,Sweden,1,1,Friendly,Damascus,Syria,FALSE
2010-01-23,United States,Honduras,1,3,Friendly,Carson,United States,FALSE
2010-01-24,Angola,Ghana,0,1,African Cup of Nations,Luanda,Angola,FALSE
2010-01-26,Argentina,Costa Rica,3,2,Friendly,San Juan,Argentina,FALSE
